package
app.phantom
com.bitkeep.wallet
com.facebook.katana
com.facebook.lite
com.instagram.android
com.samsung.android.mapsagent
com.wallet.crypto.trustapp
exodusmovement.exodus
io.metamask
io.oneinch.android
io.safepal.wallet
io.zerion.android
me.rainbow
org.toshi
vip.mytokenpocket
