direction,event,wrapper,payload_shape,file,line_start,line_end
client_to_server,strategy-pause,Et,"[""{ strategy: { strategy_id: r } }""]",index-DHlB7G7_.js,2161,2161
client_to_server,strategy-resume,Et,"[""{ strategy: { strategy_id: r } }""]",index-DHlB7G7_.js,2162,2162
client_to_server,strategy-stop,Et,"[""{ strategy: { strategy_id: r } }""]",index-DHlB7G7_.js,2163,2163
client_to_server,strategy-params,Et,"[""{ strategy: { strategy_id: r, params: e } }""]",index-DHlB7G7_.js,2164,2164
client_to_server,order-new,Et,"[""{ order: e, signature: t, ts: +new Date }"",""!0""]",index-DHlB7G7_.js,2165,2165
client_to_server,order-modify,Et,"[""i""]",index-DHlB7G7_.js,2166,2166
client_to_server,order-modify-meta,Et,"[""s""]",index-DHlB7G7_.js,2167,2167
client_to_server,order-action,Et,"[""s""]",index-DHlB7G7_.js,2168,2168
client_to_server,strategy-action,Et,"[""s""]",index-DHlB7G7_.js,2169,2169
client_to_server,order-cancel,Et,"[""{ order: e, signature: await hs(e), ts: +new Date }"",""!0""]",index-DHlB7G7_.js,2170,2170
client_to_server,order-refresh,Et,"[""{ order: e, signature: await hs(e), ts: +new Date }"",""!0""]",index-DHlB7G7_.js,2171,2171
client_to_server,user-refresh,Et,"[""e"",""!0""]",index-DHlB7G7_.js,2173,2173
client_to_server,position-modify-leverage,Et,"[""{ position: n, signature: await hs(n), ts: +new Date }""]",index-DHlB7G7_.js,2174,2174
