path,abi,bytes,sha256,soname,needed,exported_functions,classification,file_description
lib/arm64-v8a/libbarhopper_v3.so,arm64-v8a,4946720,ec09597e9eb3aee0eb55ae3366da0d4ba416f5aa35a1af0b3811f50ff46743a1,libbarhopper_v3.so,"[""libjnigraphics.so"",""liblog.so"",""libdl.so"",""libm.so"",""libc.so""]",8,ML Kit barcode detector,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, for Android 21, built by NDK r27 (12077973), BuildID[md5/uuid]=31faf13054616563bd553d8d71a935bb, stripped"
lib/arm64-v8a/libdatastore_shared_counter.so,arm64-v8a,7112,d3e48717c9aa147e0ab21063ba0e8e0211cabf8bf40b222640829519edbf58e1,libdatastore_shared_counter.so,"[""libm.so"",""libdl.so"",""libc.so""]",9,AndroidX DataStore native counter,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, for Android 21, built by NDK r25c (9519653), BuildID[sha1]=17db37bd6770ac00dd2d1d2828839fd23a7959a3, stripped"
lib/arm64-v8a/libimage_processing_util_jni.so,arm64-v8a,32544,f0e4611db0d6b68942d8ba6977519f3dd1cdbffa87b7fc16d8006696ba954af4,libimage_processing_util_jni.so,"[""liblog.so"",""libandroid.so"",""libjnigraphics.so"",""libm.so"",""libdl.so"",""libc.so""]",8,AndroidX Camera support,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, for Android 23, built by NDK r27 (12077973), BuildID[sha1]=3a1049a8184f35f8198fcaefd16045e2c7ef6abd, stripped"
lib/arm64-v8a/libsurface_util_jni.so,arm64-v8a,4896,6cb2eac3c68e6a82ce2a5ea5aba86749eb8c609914392e125f6cdfbc208992f8,libsurface_util_jni.so,"[""libandroid.so"",""libm.so"",""libdl.so"",""libc.so""]",1,AndroidX Camera support,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, for Android 23, built by NDK r27 (12077973), BuildID[sha1]=80526e39fa0d29c1b7200db5e801b80fcb21d910, stripped"
